X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,Y
F,1,3,2,A6,K,K,K,K,K,K,Q,Q,Q,Q,Q,Q,X,X,X,X,X,X,0
F,1,1,2,A6,K,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,1
F,2,3,2,A6,K,K,K,K,K,K,R,R,R,R,R,R,X,X,X,X,X,X,0
F,2,3,1,A3,L,L,L,L,L,L,R,R,R,R,Q,R,X,X,X,W,X,X,0
F,1,1,2,A6,K,K,K,K,K,K,R,R,R,R,R,R,X,X,X,X,X,X,0
D,2,1,2,A6,L,L,L,L,L,L,R,R,R,R,R,Q,X,X,X,X,W,X,0
F,1,2,2,A5,J,K,K,K,K,K,Q,Q,R,R,R,R,X,X,X,X,X,X,1
F,1,1,2,A5,K,K,K,K,K,K,P,P,P,P,P,P,X,X,X,X,X,X,0
B,2,2,1,A2,L,L,L,L,L,L,R,R,R,R,Q,R,X,X,X,W,X,W,0
B,1,1,1,A2,L,L,L,L,L,L,R,R,Q,R,R,R,X,W,X,X,X,X,0
E,1,1,2,A6,L,L,L,L,L,L,Q,R,R,R,R,R,X,X,X,X,X,X,0
D,1,2,1,A4,K,K,K,K,K,K,O,O,O,O,O,O,X,X,X,X,X,X,0
F,2,2,2,A6,K,K,K,K,K,L,R,R,R,R,R,R,X,X,X,X,W,X,0
F,1,1,2,A6,K,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,1
D,1,1,2,A5,L,L,J,L,K,L,R,R,R,R,R,R,X,X,X,X,X,X,0
C,1,1,2,A5,K,K,K,K,K,K,O,O,O,M,O,O,X,X,X,U,W,X,0
F,2,1,2,A6,K,K,K,K,K,K,Q,Q,Q,Q,Q,Q,X,X,X,X,X,X,0
F,1,2,2,A6,K,K,K,K,K,K,R,R,R,R,R,R,X,X,X,X,X,X,0
E,2,2,1,A5,K,K,K,K,K,K,Q,Q,Q,Q,Q,Q,X,X,X,X,X,X,0
F,2,1,2,A6,K,K,K,J,K,K,R,R,R,R,R,Q,X,X,X,X,X,X,0
E,1,1,2,A6,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,1
F,2,1,2,A6,K,K,J,L,K,K,R,R,R,R,R,R,X,X,X,X,X,X,1
E,2,4,2,A3,K,K,L,K,K,L,R,R,R,R,R,R,X,X,X,X,X,X,1
C,1,2,2,A5,L,L,L,L,L,L,R,R,R,Q,R,R,X,X,X,X,X,X,0
F,1,1,2,A6,K,K,K,K,K,K,R,R,R,R,R,R,X,X,X,X,X,X,0
F,1,3,2,A4,K,J,J,J,J,K,Q,Q,Q,Q,Q,Q,X,X,X,X,X,X,1
F,2,3,3,A4,K,K,K,K,K,K,Q,Q,Q,Q,Q,Q,X,X,X,X,X,X,0
D,2,2,1,A3,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
E,2,1,2,A6,K,J,K,K,K,K,Q,Q,Q,Q,Q,Q,X,X,X,X,X,X,0
E,2,1,2,A6,J,K,K,K,K,K,Q,Q,Q,R,R,R,X,X,X,X,X,X,0
B,2,1,1,A4,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
E,2,3,1,A5,K,K,K,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
E,2,2,1,A5,K,K,K,K,K,K,O,O,O,O,P,P,X,X,X,X,X,X,0
E,2,1,2,A5,L,I,J,J,J,J,R,R,R,R,R,R,X,X,X,X,X,X,0
C,2,2,1,A6,K,K,K,K,K,K,M,M,M,M,M,M,X,X,W,X,X,X,0
B,2,3,1,A6,K,K,K,K,K,K,R,R,R,R,R,R,X,X,X,X,X,X,1
F,1,2,1,A4,K,K,K,K,K,L,Q,Q,Q,R,R,R,X,X,X,X,X,X,0
F,1,1,2,A6,J,J,J,J,J,J,R,R,R,R,Q,Q,X,X,X,X,X,X,1
F,2,2,1,A3,K,K,K,L,L,L,Q,Q,R,R,R,R,X,X,X,X,X,X,1
E,2,2,1,A3,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
E,1,1,1,A2,L,L,L,L,J,J,O,O,O,R,R,R,X,X,X,X,X,X,1
F,1,2,1,A2,J,J,J,K,K,K,R,R,R,R,R,R,X,X,X,X,X,X,1
E,2,1,2,A6,J,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
E,2,3,2,A6,K,L,L,L,J,L,R,R,R,R,R,R,X,X,X,X,X,X,0
F,1,4,2,A6,J,K,K,K,K,K,R,R,R,R,R,R,X,X,X,X,X,X,0
F,1,1,2,A5,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
D,1,2,2,A6,J,J,J,J,J,J,Q,Q,Q,Q,Q,Q,X,X,X,X,X,X,1
E,2,2,1,A5,L,L,L,L,J,L,R,R,R,R,R,R,X,X,X,X,X,X,0
D,2,1,2,A5,K,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
C,1,1,2,A5,L,L,L,L,L,L,R,R,R,R,P,R,X,X,X,V,X,X,0
F,1,2,2,A6,K,K,J,K,K,K,R,R,R,R,R,R,X,X,X,X,X,X,0
F,1,3,2,A6,L,K,K,K,K,K,Q,Q,Q,R,R,R,X,X,X,X,X,X,0
D,2,1,1,A4,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
F,2,2,2,A6,K,K,K,K,K,K,Q,Q,Q,Q,R,R,X,X,X,X,X,X,1
D,2,2,2,A4,K,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,1
B,2,3,3,A5,K,K,K,K,K,K,O,O,O,Q,Q,Q,X,X,X,X,X,X,0
C,2,1,2,A6,K,K,K,K,K,L,R,Q,Q,Q,O,R,X,X,X,U,X,X,0
F,1,3,2,A6,K,K,K,K,K,K,R,Q,Q,R,R,R,X,X,X,X,X,X,1
C,2,2,1,A4,K,K,J,K,K,K,P,O,P,P,P,P,X,X,X,X,X,X,0
F,2,3,2,A3,K,K,K,K,K,K,Q,Q,R,R,R,R,X,X,X,X,X,X,0
E,1,2,2,A5,K,K,K,K,K,K,P,P,Q,P,P,P,X,X,V,X,X,X,0
C,2,1,1,A4,L,L,J,K,L,L,R,R,R,R,R,R,X,X,X,X,X,X,1
E,2,2,2,A5,K,K,K,K,K,L,R,R,R,R,R,R,X,X,X,X,X,X,0
E,2,1,1,A5,K,K,K,L,L,L,P,P,R,R,R,R,W,X,X,X,X,X,0
F,1,3,2,A4,J,J,K,K,K,J,R,R,R,R,R,R,X,X,X,X,X,X,0
E,1,1,1,A2,J,J,J,J,J,J,O,O,O,O,O,O,X,X,X,X,X,X,1
D,2,1,2,A4,L,L,L,K,K,L,R,R,R,R,R,R,X,X,X,X,X,X,0
F,2,1,2,A6,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
E,2,2,1,A5,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
F,2,2,2,A6,K,K,K,K,K,K,Q,Q,Q,R,R,R,X,X,X,X,X,X,0
F,1,2,2,A5,K,K,K,K,K,K,P,P,P,Q,Q,Q,X,X,X,X,X,X,0
C,1,1,1,A4,L,L,L,L,L,K,R,R,R,R,R,R,X,X,X,X,X,W,0
E,1,1,2,A6,K,K,K,K,K,K,P,P,P,P,P,Q,X,X,X,X,X,X,0
F,2,3,1,A6,K,K,K,K,K,K,R,R,R,R,R,R,X,X,X,X,X,X,0
F,1,2,1,A5,K,K,K,K,K,L,R,R,R,R,R,R,X,X,X,X,X,X,1
E,1,1,2,A5,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
C,2,1,2,A6,L,L,L,K,K,K,R,R,Q,Q,Q,Q,X,W,X,X,X,X,0
B,1,1,1,A1,K,K,K,J,J,K,M,M,M,M,M,M,X,W,X,X,X,X,0
F,2,3,2,A6,K,K,K,K,K,K,Q,Q,Q,Q,R,R,X,X,X,X,X,X,1
F,2,2,2,A6,J,J,J,J,J,K,Q,Q,Q,Q,Q,Q,X,X,X,X,X,X,0
F,2,2,2,A6,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
F,2,2,1,A5,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
C,1,1,2,A3,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
E,1,2,2,A5,K,K,K,L,L,L,O,O,Q,P,Q,P,X,X,V,X,V,X,0
C,1,2,1,A5,K,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
C,2,1,1,A5,K,K,J,K,K,K,P,P,P,P,P,P,X,X,X,X,X,X,0
F,1,3,1,A3,K,K,J,K,K,K,R,R,R,R,R,R,X,X,X,X,X,X,0
D,1,2,1,A4,J,J,J,J,J,I,O,O,P,O,O,O,X,X,X,X,X,X,0
F,2,1,2,A6,K,K,K,K,K,K,Q,Q,Q,Q,Q,Q,X,X,X,X,X,X,0
F,1,2,2,A4,K,K,K,K,K,K,R,R,R,R,R,R,X,X,X,X,X,X,0
F,1,1,2,A6,L,J,K,K,I,J,R,R,R,R,R,R,X,X,X,X,X,X,1
D,1,1,2,A6,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
F,1,2,2,A6,J,K,K,K,K,K,R,R,R,R,R,R,X,X,X,X,X,X,1
C,1,2,1,A5,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
D,2,2,2,A5,K,K,K,K,L,L,Q,Q,Q,Q,R,R,X,X,X,X,X,X,0
F,1,3,2,A5,J,J,J,I,J,J,Q,Q,Q,Q,Q,Q,X,X,X,X,X,X,1
B,1,1,1,A4,K,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,1
F,2,1,1,A3,K,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
D,2,2,1,A5,J,K,K,K,K,K,N,N,N,N,N,O,X,X,X,X,X,X,1
F,1,1,2,A6,K,K,K,K,K,K,R,R,R,R,R,R,X,X,X,X,X,X,0
F,1,2,2,A6,K,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
E,1,3,2,A3,K,K,K,K,K,K,P,P,P,P,P,P,X,X,X,X,X,X,0
E,1,1,1,A5,K,K,K,K,K,K,O,P,P,P,P,P,X,X,X,X,X,X,1
F,1,2,1,A3,K,K,K,K,K,K,R,R,R,R,R,R,X,X,X,X,X,X,1
F,1,3,1,A2,I,J,J,K,K,K,Q,Q,Q,Q,Q,R,X,X,X,X,X,X,0
F,2,1,2,A6,K,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
D,1,1,2,A4,K,L,L,K,K,L,R,R,R,R,R,R,X,X,X,X,X,X,0
C,1,2,1,A5,K,K,K,K,K,K,N,N,N,O,O,O,X,X,X,X,X,X,0
C,1,3,1,A3,K,K,K,K,K,K,N,N,N,N,N,N,X,X,X,X,X,X,0
F,2,2,2,A6,K,K,K,K,K,K,Q,R,R,R,R,R,X,X,X,X,X,X,0
D,1,2,1,A5,K,K,K,J,J,J,R,R,R,R,R,R,X,X,X,X,X,X,0
E,1,1,2,A6,K,K,K,K,K,K,R,R,R,R,R,Q,X,X,X,X,X,X,0
E,2,2,1,A5,K,K,K,K,K,K,R,R,R,R,R,R,X,X,X,X,X,X,0
F,2,3,1,A3,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,1
F,1,1,2,A6,K,K,K,K,K,K,Q,Q,Q,R,R,R,X,X,X,X,X,X,0
D,1,1,2,A3,K,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,1
E,1,2,2,A6,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
F,1,2,2,A6,K,J,J,J,K,K,R,R,R,R,R,R,X,X,X,X,X,X,0
E,1,2,2,A6,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
F,1,1,2,A6,L,L,L,L,K,L,R,R,R,R,R,R,X,X,X,X,X,X,0
F,1,1,2,A6,K,K,K,K,K,I,R,R,R,R,R,R,X,X,X,X,X,X,0
E,2,2,2,A6,K,K,K,K,K,K,R,R,R,R,R,R,X,X,X,X,X,X,1
E,1,1,2,A5,K,J,K,K,K,K,O,O,P,O,P,Q,X,X,W,X,X,X,0
F,2,2,1,A6,K,J,I,J,K,K,R,R,R,R,R,R,X,X,X,X,X,X,0
D,2,1,1,A2,K,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
E,1,2,1,A5,K,K,K,K,J,K,P,P,Q,Q,Q,Q,X,X,X,X,X,X,0
F,1,1,2,A6,K,K,K,K,K,K,Q,Q,Q,Q,Q,Q,W,X,X,X,X,X,0
C,1,1,2,A4,K,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
D,2,2,1,A2,K,K,K,K,K,K,O,O,P,P,O,O,X,X,X,V,X,X,0
F,2,3,2,A6,K,K,K,K,K,K,R,R,R,R,R,R,X,X,X,X,X,X,0
E,1,1,1,A5,K,K,K,K,K,K,R,Q,Q,Q,Q,Q,X,X,X,X,X,X,0
E,2,1,2,A5,K,K,K,K,K,K,P,P,P,P,P,P,X,X,X,X,X,X,0
E,2,3,2,A6,K,K,K,K,K,K,O,O,O,O,O,P,X,X,X,X,X,X,0
E,1,3,1,A4,J,I,H,H,H,G,P,P,P,O,O,O,X,X,X,X,X,X,1
F,1,3,1,A2,I,J,K,K,K,K,R,R,R,R,R,R,X,X,X,X,X,X,0
F,1,1,2,A4,J,J,J,J,J,K,R,Q,R,Q,Q,Q,X,X,X,X,X,X,0
F,1,2,2,A6,J,L,L,L,L,J,R,R,R,R,R,R,X,X,X,X,X,X,0
D,1,3,1,A3,L,L,L,L,K,L,R,R,R,R,R,R,X,X,X,X,X,X,0
D,2,1,1,A5,K,K,J,K,K,K,O,O,O,O,O,O,X,X,X,X,X,X,0
F,2,2,1,A3,K,K,K,K,K,K,R,R,R,R,R,Q,X,X,X,X,X,X,0
F,2,1,2,A6,K,K,K,K,K,K,P,P,P,P,P,P,X,X,X,X,X,X,0
C,1,1,2,A3,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
F,1,2,1,A6,L,J,J,K,K,K,P,P,Q,Q,R,R,X,X,X,X,X,W,0
F,2,2,1,A5,K,K,K,K,K,J,Q,P,P,P,P,P,X,X,X,X,X,X,0
F,2,2,2,A6,K,K,K,K,K,K,Q,Q,Q,Q,Q,Q,X,X,X,X,X,X,0
D,1,2,2,A5,K,K,K,K,K,K,Q,Q,Q,Q,R,R,X,X,X,X,X,X,0
D,2,1,2,A6,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
F,2,2,2,A6,L,K,K,K,K,K,R,R,R,R,R,R,X,X,X,X,X,X,0
F,2,1,2,A6,K,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,1
C,1,1,2,A6,K,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
E,1,3,1,A2,K,J,J,J,J,I,Q,Q,Q,Q,Q,Q,X,X,X,X,X,X,1
F,1,1,2,A6,L,L,K,K,K,K,R,R,R,R,R,R,X,X,X,X,X,X,0
F,1,2,2,A6,K,J,K,K,K,J,Q,Q,Q,Q,R,R,X,X,X,X,X,X,0
F,2,2,2,A6,K,K,K,K,K,K,R,R,R,R,R,R,X,X,X,X,X,X,0
F,2,2,1,A6,K,K,J,K,K,K,P,P,P,Q,R,R,X,X,X,X,X,X,0
D,1,1,2,A5,L,L,J,K,K,L,R,R,R,R,R,R,X,X,X,X,X,W,0
F,2,3,2,A5,K,L,K,K,K,K,Q,R,R,R,R,R,X,X,X,X,X,X,0
B,2,1,1,A3,K,K,K,K,K,K,Q,P,P,P,P,Q,W,W,W,X,W,X,0
F,2,2,1,A6,K,K,K,K,K,K,Q,Q,Q,R,R,R,X,X,X,X,X,X,1
F,1,2,2,A6,K,K,K,K,K,L,R,R,R,R,R,R,X,X,X,X,X,X,0
F,2,2,1,A5,K,J,K,K,J,K,R,R,R,R,R,R,X,X,X,X,X,X,1
C,2,1,2,A5,K,L,L,L,L,L,R,Q,R,Q,R,R,W,X,W,X,X,W,0
E,2,3,2,A3,J,J,J,J,J,J,O,O,O,O,O,O,X,X,X,X,X,X,1
E,2,2,1,A5,K,L,K,K,K,K,R,R,R,R,R,R,X,X,X,X,X,X,0
F,2,2,2,A5,K,H,H,H,I,J,R,R,R,R,R,R,X,X,X,X,X,X,0
D,1,1,2,A5,K,K,K,K,K,K,Q,Q,Q,Q,Q,Q,X,X,X,X,X,X,0
F,2,1,2,A6,J,K,K,K,J,K,R,R,R,R,R,R,X,X,X,X,X,X,1
E,2,1,2,A6,L,L,L,L,L,K,R,R,R,R,R,R,X,X,X,X,X,X,0
E,2,1,2,A6,L,L,J,K,K,L,R,R,R,R,R,R,W,X,X,X,X,X,0
F,1,2,1,A5,K,K,K,K,L,L,Q,R,R,R,R,R,X,X,X,X,X,X,0
F,2,1,2,A6,K,J,J,J,J,J,Q,Q,Q,Q,Q,Q,X,X,X,X,X,X,1
E,2,2,1,A5,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
F,2,1,2,A6,K,K,K,K,L,K,R,R,R,R,R,R,X,X,X,X,X,X,0
B,2,1,1,A5,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
F,2,3,2,A6,K,J,J,K,K,K,Q,Q,Q,Q,R,R,X,X,X,X,X,X,1
E,2,1,1,A5,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
E,1,1,2,A5,K,K,J,K,K,J,R,R,R,R,Q,R,X,X,X,X,X,X,0
E,2,1,2,A6,L,K,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
E,1,2,2,A6,K,K,K,K,K,K,P,P,P,P,P,P,X,X,X,X,X,X,0
C,2,2,1,A3,K,K,K,K,K,K,N,N,N,O,O,O,X,X,X,X,X,X,0
F,1,3,1,A4,L,L,K,K,K,K,R,R,R,R,R,R,X,X,X,X,X,X,0
F,1,1,1,A3,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
E,2,2,1,A4,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,1
F,2,2,2,A6,K,K,K,K,K,K,P,P,P,Q,Q,Q,X,X,X,X,X,X,1
C,2,1,1,A3,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
E,1,1,2,A6,K,K,K,L,L,L,P,P,P,R,R,P,X,X,X,X,V,X,0
E,2,1,1,A5,K,L,L,K,L,L,R,R,R,R,R,R,X,X,X,X,X,X,1
F,2,3,1,A4,K,K,K,K,K,K,Q,Q,Q,Q,Q,Q,X,X,X,X,X,X,0
F,1,2,2,A4,K,K,K,J,K,K,Q,Q,R,R,R,R,X,X,X,X,X,X,0
B,1,2,2,A6,J,J,J,J,K,K,N,N,N,M,N,N,X,X,X,X,X,X,0
F,1,3,1,A4,L,L,L,L,L,J,R,R,R,R,R,R,X,X,X,X,X,X,0
D,2,2,1,A5,K,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,1
F,1,2,2,A5,J,K,K,K,K,K,P,P,P,P,P,P,X,X,X,X,X,X,0
F,2,3,3,A5,K,K,K,K,K,K,P,P,P,Q,Q,Q,X,X,X,X,X,X,0
D,2,1,2,A5,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
C,2,1,1,A4,J,J,J,K,K,K,P,P,P,P,P,P,X,X,X,X,X,X,1
C,2,3,2,A4,K,K,K,K,K,K,N,N,N,N,N,N,X,X,X,X,X,X,0
D,2,2,2,A5,K,K,K,K,K,K,N,N,O,O,O,O,X,X,X,X,X,X,0
D,2,2,2,A5,K,K,K,K,K,K,P,P,P,Q,Q,Q,X,X,X,X,X,X,0
F,2,3,2,A5,K,I,J,K,K,K,Q,Q,Q,Q,Q,Q,X,X,X,X,X,W,1
E,2,1,2,A6,K,K,K,K,K,K,P,P,P,P,P,P,X,X,X,X,X,X,0
C,1,3,1,A4,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
F,1,2,1,A5,K,K,K,K,K,K,R,R,R,R,R,R,X,X,X,X,X,X,0
F,1,2,2,A6,J,K,K,K,K,K,Q,Q,Q,R,R,R,X,X,X,X,X,X,1
F,2,3,2,A6,K,J,K,K,K,K,R,R,R,R,R,R,X,X,X,X,X,X,0
F,2,1,2,A6,K,K,K,K,K,K,Q,Q,Q,R,R,R,X,X,X,X,X,X,0
F,1,2,2,A6,K,J,K,K,J,K,R,R,R,R,R,R,X,X,X,X,X,X,1
F,1,2,1,A6,K,K,L,L,L,K,P,R,R,R,Q,Q,X,X,X,W,X,X,0
E,1,2,2,A5,J,K,K,K,J,J,P,P,P,O,O,O,X,X,X,X,X,X,1
F,2,2,1,A5,K,K,K,K,K,K,Q,Q,R,R,R,R,X,X,X,X,X,X,0
F,1,1,2,A5,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
E,2,2,2,A6,K,K,K,K,K,K,P,P,Q,Q,Q,Q,X,X,X,X,X,X,0
E,2,1,2,A5,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
D,2,3,1,A3,K,K,K,K,K,K,N,N,O,O,O,O,X,X,X,X,X,X,1
E,2,2,3,A4,K,K,K,K,K,K,R,R,R,R,R,R,X,X,X,X,X,X,1
F,2,1,2,A6,K,J,J,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
F,1,1,2,A4,K,K,K,K,K,K,Q,Q,Q,Q,Q,R,X,X,X,X,X,X,0
F,2,2,2,A6,K,K,K,K,K,K,R,Q,Q,Q,Q,Q,X,X,X,X,X,X,0
E,2,1,2,A5,L,L,J,J,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
F,2,1,2,A4,L,L,J,J,J,J,R,R,R,R,R,R,X,X,X,X,X,X,0
F,2,2,2,A4,K,K,K,K,K,L,R,R,R,R,R,R,X,X,X,X,X,X,0
D,2,2,1,A1,K,L,L,L,L,L,Q,R,R,R,R,R,X,X,X,X,X,X,0
F,2,2,2,A6,K,K,K,K,K,K,Q,Q,Q,Q,Q,Q,X,X,X,X,X,X,0
C,1,1,2,A6,K,K,K,K,J,K,Q,Q,Q,Q,Q,R,X,X,X,X,X,X,0
F,1,3,1,A3,K,K,K,K,K,K,Q,R,R,R,R,R,X,X,X,X,X,X,0
F,2,2,2,A6,K,J,J,K,K,K,Q,Q,Q,Q,Q,Q,X,X,X,X,X,X,0
F,1,2,2,A6,K,K,K,K,K,K,Q,Q,Q,R,R,R,X,X,X,X,X,X,0
E,2,2,2,A6,K,K,K,K,K,K,P,P,P,P,P,P,X,X,X,X,X,X,1
E,2,1,2,A6,K,K,K,K,L,K,Q,Q,Q,R,P,P,X,X,X,V,X,X,0
C,2,2,2,A6,L,K,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
F,1,2,1,A6,K,K,K,K,K,K,Q,Q,Q,Q,Q,Q,X,X,X,X,X,X,0
E,2,2,1,A3,K,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
E,2,2,1,A5,L,L,L,L,K,L,R,R,R,Q,R,R,X,X,W,X,X,X,0
F,2,3,1,A4,K,K,L,L,L,L,Q,R,R,R,R,R,X,X,X,X,X,X,0
E,1,1,1,A3,J,K,K,K,K,K,O,O,O,O,O,O,X,X,X,X,X,X,1
B,2,1,2,A6,K,K,K,K,K,K,P,P,P,P,P,Q,W,X,X,X,X,W,0
F,1,2,2,A6,K,K,K,K,K,K,Q,Q,Q,Q,Q,Q,X,X,X,X,X,X,0
E,2,1,1,A5,L,L,L,L,J,L,R,R,R,R,R,R,X,X,X,X,X,X,0
D,2,1,2,A5,L,L,L,L,L,L,R,Q,R,R,R,R,W,X,X,X,X,X,0
F,2,1,2,A5,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
E,2,2,1,A6,L,L,L,L,L,L,R,R,R,R,R,R,X,X,X,X,X,X,0
F,1,3,2,A6,K,K,K,K,K,J,R,R,R,R,R,R,X,X,X,X,X,X,0
E,2,3,2,A3,K,K,K,K,K,K,P,P,Q,Q,Q,Q,X,X,X,X,X,X,1
F,2,1,2,A3,K,K,K,K,K,K,Q,Q,Q,Q,Q,Q,X,X,X,X,X,X,0
F,1,2,2,A6,I,J,J,K,K,L,R,R,R,R,R,R,X,X,X,X,X,X,1
F,1,3,2,A5,K,K,K,K,K,K,Q,Q,R,R,R,R,X,X,X,X,X,X,0
E,1,1,1,A5,L,J,L,K,K,K,R,R,R,R,R,R,X,X,X,X,X,X,0
